GPU,Model,Precision,Layer_Name,State,Batch_Size,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Prefill,1,4096,14336,4096,2.26191,212.668,118.676
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Decode,1,1,14336,4096,0.07301,1.609,1609.032
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Prefill,16,65536,14336,4096,29.19393,263.636,86.777
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Decode,16,16,14336,4096,0.07229,25.992,1632.635
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Prefill,32,131072,14336,4096,57.52463,267.593,86.038
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Up-proj,Decode,32,32,14336,4096,0.07496,50.137,1582.516
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Prefill,1,4096,4096,14336,2.28116,210.873,117.675
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Decode,1,1,4096,14336,0.0727,1.615,1615.833
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Prefill,16,65536,4096,14336,29.32142,262.49,86.4
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Decode,16,16,4096,14336,0.09953,18.879,1185.844
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Prefill,32,131072,4096,14336,58.81057,261.741,84.156
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,FFN Down-proj,Decode,32,32,4096,14336,0.13814,27.205,858.71
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Prefill,1,4096,4096,4096,0.6825,201.377,147.493
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Decode,1,1,4096,4096,0.01966,1.707,1707.5
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Prefill,16,65536,4096,4096,9.86419,222.93,112.254
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Decode,16,16,4096,4096,0.03512,15.285,962.802
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Prefill,32,131072,4096,4096,18.34373,239.757,118.898
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,Q-proj,Decode,32,32,4096,4096,0.04342,24.731,784.907
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Prefill,1,4096,4096,1024,0.20726,165.783,242.846
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Decode,1,1,4096,1024,0.00727,1.154,1155.211
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Prefill,16,65536,4096,1024,2.85737,192.399,237.798
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Decode,16,16,4096,1024,0.01065,12.603,803.084
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Prefill,32,131072,4096,1024,5.67839,193.631,237.843
NVIDIA A800-SXM4-80GB,Llama-3-8B,float16_float16_float16,KV-proj,Decode,32,32,4096,1024,0.01198,22.405,727.521
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Prefill,1,4096,14336,4096,2.42862,198.07,74.262
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Decode,1,1,14336,4096,0.02263,5.19,1299.01
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Prefill,16,65536,14336,4096,33.24088,231.54,73.562
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Decode,16,16,14336,4096,0.03441,54.613,870.479
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Prefill,32,131072,14336,4096,61.27616,251.21,79.333
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Up-proj,Decode,32,32,14336,4096,0.05007,75.052,609.899
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Prefill,1,4096,4096,14336,2.41398,199.271,74.713
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Decode,1,1,4096,14336,0.02304,5.097,1275.917
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Prefill,16,65536,4096,14336,33.49637,229.774,73.001
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Decode,16,16,4096,14336,0.0254,73.993,1179.359
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Prefill,32,131072,4096,14336,60.8895,252.805,79.836
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,FFN Down-proj,Decode,32,32,4096,14336,0.04147,90.618,736.397
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Prefill,1,4096,4096,4096,0.73431,187.167,102.814
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Decode,1,1,4096,4096,0.01014,3.31,829.099
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Prefill,16,65536,4096,4096,10.40097,211.425,104.041
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Decode,16,16,4096,4096,0.01423,37.719,607.774
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Prefill,32,131072,4096,4096,20.72566,212.203,104.019
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,Q-proj,Decode,32,32,4096,4096,0.01987,54.051,448.662
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Prefill,1,4096,4096,1024,0.2134,161.01,206.372
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Decode,1,1,4096,1024,0.00614,1.365,343.006
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Prefill,16,65536,4096,1024,3.02705,181.615,222.39
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Decode,16,16,4096,1024,0.0086,15.604,262.86
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Prefill,32,131072,4096,1024,6.03167,182.29,222.869
NVIDIA A800-SXM4-80GB,Llama-3-8B,int4_float16_float16,KV-proj,Decode,32,32,4096,1024,0.01044,25.701,232.159
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Prefill,1,4096,14336,4096,1.25174,384.295,247.958
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Decode,1,1,14336,4096,0.0385,3.05,1526.702
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Prefill,16,65536,14336,4096,17.79057,432.621,229.63
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Decode,16,16,14336,4096,0.04004,46.931,1491.151
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Prefill,32,131072,14336,4096,31.6542,486.291,256.263
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Up-proj,Decode,32,32,14336,4096,0.04291,87.59,1414.419
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Prefill,1,4096,4096,14336,1.17535,409.272,157.017
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Decode,1,1,4096,14336,0.03809,3.083,1542.312
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Prefill,16,65536,4096,14336,15.17394,507.224,136.549
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Decode,16,16,4096,14336,0.0555,33.856,1066.865
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Prefill,32,131072,4096,14336,35.6011,432.379,114.751
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,FFN Down-proj,Decode,32,32,4096,14336,0.07229,51.983,825.836
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Prefill,1,4096,4096,4096,0.38052,361.189,264.543
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Decode,1,1,4096,4096,0.00942,3.562,1783.043
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Prefill,16,65536,4096,4096,5.51301,398.879,246.5
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Decode,16,16,4096,4096,0.01802,29.789,949.091
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Prefill,32,131072,4096,4096,10.32325,426.033,261.655
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,Q-proj,Decode,32,32,4096,4096,0.01946,55.188,896.0
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Prefill,1,4096,4096,1024,0.13425,255.946,562.38
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Decode,1,1,4096,1024,0.00584,1.437,721.579
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Prefill,16,65536,4096,1024,1.92,286.331,596.378
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Decode,16,16,4096,1024,0.00768,17.476,582.4
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Prefill,32,131072,4096,1024,3.80774,288.757,600.328
NVIDIA A800-SXM4-80GB,Llama-3-8B,int8_int8_int32,KV-proj,Decode,32,32,4096,1024,0.00881,30.482,539.535
