GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
A800,Llama-3-70B,int8_int8_int32,Q-proj,1,8192,8192,0.0427,3.143,1572.566
A800,Llama-3-70B,int8_int8_int32,Q-proj,16,8192,8192,0.07311,29.372,926.835
A800,Llama-3-70B,int8_int8_int32,Q-proj,32,8192,8192,0.07506,57.221,911.543
A800,Llama-3-70B,int8_int8_int32,Q-proj,64,8192,8192,0.09656,88.957,722.121
A800,Llama-3-70B,int8_int8_int32,Q-proj,128,8192,8192,0.1705,100.764,424.361
A800,Llama-3-70B,int8_int8_int32,Q-proj,256,8192,8192,0.27412,125.343,283.063
A800,Llama-3-70B,int8_int8_int32,Q-proj,512,8192,8192,0.53064,129.504,165.99
A800,Llama-3-70B,int8_int8_int32,Q-proj,1024,8192,8192,0.798,172.229,136.656
A800,Llama-3-70B,int8_int8_int32,Q-proj,2048,8192,8192,1.35875,202.303,111.128
A800,Llama-3-70B,int8_int8_int32,Q-proj,4096,8192,8192,2.71165,202.738,86.619
A800,Llama-3-70B,int8_int8_int32,Q-proj,8192,8192,8192,5.21329,210.906,77.236
A800,Llama-3-70B,int8_int8_int32,KV-proj,1,8192,1024,0.00655,2.56,1285.176
A800,Llama-3-70B,int8_int8_int32,KV-proj,16,8192,1024,0.01065,25.206,838.469
A800,Llama-3-70B,int8_int8_int32,KV-proj,32,8192,1024,0.01239,43.33,764.304
A800,Llama-3-70B,int8_int8_int32,KV-proj,64,8192,1024,0.02212,48.545,477.037
A800,Llama-3-70B,int8_int8_int32,KV-proj,128,8192,1024,0.02509,85.598,506.776
A800,Llama-3-70B,int8_int8_int32,KV-proj,256,8192,1024,0.0382,112.448,446.114
A800,Llama-3-70B,int8_int8_int32,KV-proj,512,8192,1024,0.07404,116.025,346.999
A800,Llama-3-70B,int8_int8_int32,KV-proj,1024,8192,1024,0.11561,148.603,371.869
A800,Llama-3-70B,int8_int8_int32,KV-proj,2048,8192,1024,0.19702,174.399,393.846
A800,Llama-3-70B,int8_int8_int32,KV-proj,4096,8192,1024,0.38031,180.692,385.999
A800,Llama-3-70B,int8_int8_int32,KV-proj,8192,8192,1024,0.73554,186.855,387.76
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,1,28672,8192,0.13701,3.429,1715.218
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,16,28672,8192,0.16916,44.431,1400.097
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,32,28672,8192,0.17961,83.695,1329.624
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,64,28672,8192,0.30095,99.898,806.587
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,128,28672,8192,0.54579,110.169,459.167
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,256,28672,8192,0.79647,150.991,334.4
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,512,28672,8192,1.33786,179.779,222.592
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,1024,28672,8192,2.41879,198.875,149.128
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,2048,28672,8192,4.65295,206.766,104.566
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,4096,28672,8192,9.36243,205.518,78.847
A800,Llama-3-70B,int8_int8_int32,FFN Up-proj,8192,28672,8192,18.06807,212.988,68.713
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,1,8192,28672,0.1367,3.436,1718.622
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,16,8192,28672,0.28396,26.47,830.639
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,32,8192,28672,0.2474,60.762,957.351
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,64,8192,28672,0.31764,94.649,751.825
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,128,8192,28672,0.57559,104.466,421.733
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,256,8192,28672,0.95457,125.982,262.536
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,512,8192,28672,1.89184,127.135,140.783
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,1024,8192,28672,2.81354,170.972,105.844
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,2048,8192,28672,4.74358,202.816,76.042
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,4096,8192,28672,9.42254,204.207,51.636
A800,Llama-3-70B,int8_int8_int32,FFN Down-proj,8192,8192,28672,16.38851,234.816,45.044
