GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
A800,Llama-3-8B,float16_float16_float16,Q-proj,1,4096,4096,0.01905,1.762,1762.581
A800,Llama-3-8B,float16_float16_float16,Q-proj,16,4096,4096,0.04905,10.945,689.436
A800,Llama-3-8B,float16_float16_float16,Q-proj,32,4096,4096,0.07055,15.219,483.019
A800,Llama-3-8B,float16_float16_float16,Q-proj,64,4096,4096,0.07711,27.851,448.766
A800,Llama-3-8B,float16_float16_float16,Q-proj,128,4096,4096,0.09492,45.246,375.577
A800,Llama-3-8B,float16_float16_float16,Q-proj,256,4096,4096,0.20152,42.625,187.317
A800,Llama-3-8B,float16_float16_float16,Q-proj,512,4096,4096,0.21791,78.84,192.481
A800,Llama-3-8B,float16_float16_float16,Q-proj,1024,4096,4096,0.40212,85.445,125.164
A800,Llama-3-8B,float16_float16_float16,Q-proj,2048,4096,4096,0.6614,103.9,101.465
A800,Llama-3-8B,float16_float16_float16,Q-proj,4096,4096,4096,1.32045,104.085,76.234
A800,Llama-3-8B,float16_float16_float16,Q-proj,8192,4096,4096,2.59021,106.122,64.772
A800,Llama-3-8B,float16_float16_float16,KV-proj,1,4096,1024,0.00758,1.107,1108.378
A800,Llama-3-8B,float16_float16_float16,KV-proj,16,4096,1024,0.01413,9.498,605.217
A800,Llama-3-8B,float16_float16_float16,KV-proj,32,4096,1024,0.01546,17.361,563.709
A800,Llama-3-8B,float16_float16_float16,KV-proj,64,4096,1024,0.01915,28.037,472.302
A800,Llama-3-8B,float16_float16_float16,KV-proj,128,4096,1024,0.02693,39.87,360.153
A800,Llama-3-8B,float16_float16_float16,KV-proj,256,4096,1024,0.03994,53.773,275.692
A800,Llama-3-8B,float16_float16_float16,KV-proj,512,4096,1024,0.05612,76.539,242.92
A800,Llama-3-8B,float16_float16_float16,KV-proj,1024,4096,1024,0.10496,81.84,179.824
A800,Llama-3-8B,float16_float16_float16,KV-proj,2048,4096,1024,0.17777,96.643,165.161
A800,Llama-3-8B,float16_float16_float16,KV-proj,4096,4096,1024,0.32819,104.694,153.36
A800,Llama-3-8B,float16_float16_float16,KV-proj,8192,4096,1024,0.64102,107.203,143.949
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,1,14336,4096,0.07383,1.591,1591.179
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,16,14336,4096,0.08407,22.351,1403.946
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,32,14336,4096,0.09615,39.084,1233.654
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,64,14336,4096,0.17183,43.743,697.211
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,128,14336,4096,0.23767,63.249,513.986
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,256,14336,4096,0.42291,71.09,300.01
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,512,14336,4096,0.63898,94.103,213.333
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,1024,14336,4096,1.11176,108.17,139.589
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,2048,14336,4096,2.34824,102.425,82.163
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,4096,14336,4096,4.43167,108.545,60.572
A800,Llama-3-8B,float16_float16_float16,FFN Up-proj,8192,14336,4096,8.77896,109.588,47.777
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,1,4096,14336,0.0726,1.618,1618.112
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,16,4096,14336,0.22559,8.33,523.214
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,32,4096,14336,0.21197,17.73,559.614
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,64,4096,14336,0.23491,31.997,509.991
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,128,4096,14336,0.31427,47.833,388.713
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,256,4096,14336,0.70195,42.83,180.75
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,512,4096,14336,0.70062,85.823,194.563
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,1024,4096,14336,1.49514,80.433,103.796
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,2048,4096,14336,2.40384,100.056,80.262
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,4096,4096,14336,4.37996,109.827,61.287
A800,Llama-3-8B,float16_float16_float16,FFN Down-proj,8192,4096,14336,8.63601,111.403,48.568
