GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
A800,Llama-3-8B,int4_float16_float16,Q-proj,1,4096,4096,0.01137,2.952,739.459
A800,Llama-3-8B,int4_float16_float16,Q-proj,16,4096,4096,0.02734,19.636,316.406
A800,Llama-3-8B,int4_float16_float16,Q-proj,32,4096,4096,0.04403,24.386,202.419
A800,Llama-3-8B,int4_float16_float16,Q-proj,64,4096,4096,0.05724,37.516,164.866
A800,Llama-3-8B,int4_float16_float16,Q-proj,128,4096,4096,0.09953,43.151,105.35
A800,Llama-3-8B,int4_float16_float16,Q-proj,256,4096,4096,0.16056,53.499,78.367
A800,Llama-3-8B,int4_float16_float16,Q-proj,512,4096,4096,0.26532,64.752,63.234
A800,Llama-3-8B,int4_float16_float16,Q-proj,1024,4096,4096,0.52828,65.041,47.637
A800,Llama-3-8B,int4_float16_float16,Q-proj,2048,4096,4096,0.89313,76.942,46.962
A800,Llama-3-8B,int4_float16_float16,Q-proj,4096,4096,4096,1.60061,85.866,47.168
A800,Llama-3-8B,int4_float16_float16,Q-proj,8192,4096,4096,2.6453,103.912,53.909
A800,Llama-3-8B,int4_float16_float16,KV-proj,1,4096,1024,0.00645,1.3,326.672
A800,Llama-3-8B,int4_float16_float16,KV-proj,16,4096,1024,0.01362,9.855,166.016
A800,Llama-3-8B,int4_float16_float16,KV-proj,32,4096,1024,0.01751,15.33,138.48
A800,Llama-3-8B,int4_float16_float16,KV-proj,64,4096,1024,0.01956,27.45,140.734
A800,Llama-3-8B,int4_float16_float16,KV-proj,128,4096,1024,0.03297,32.564,103.354
A800,Llama-3-8B,int4_float16_float16,KV-proj,256,4096,1024,0.05386,39.87,87.605
A800,Llama-3-8B,int4_float16_float16,KV-proj,512,4096,1024,0.09708,44.244,75.612
A800,Llama-3-8B,int4_float16_float16,KV-proj,1024,4096,1024,0.16159,53.16,77.871
A800,Llama-3-8B,int4_float16_float16,KV-proj,2048,4096,1024,0.26737,64.256,86.281
A800,Llama-3-8B,int4_float16_float16,KV-proj,4096,4096,1024,0.48507,70.835,90.792
A800,Llama-3-8B,int4_float16_float16,KV-proj,8192,4096,1024,0.72806,94.387,118.098
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,1,14336,4096,0.02621,4.48,1121.411
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,16,14336,4096,0.08141,23.082,367.9
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,32,14336,4096,0.13691,27.45,223.067
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,64,14336,4096,0.14367,52.317,220.784
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,128,14336,4096,0.19016,79.053,179.214
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,256,14336,4096,0.43069,69.805,90.081
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,512,14336,4096,0.63805,94.239,75.596
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,1024,14336,4096,1.24877,96.302,53.74
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,2048,14336,4096,2.45955,97.79,42.633
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,4096,14336,4096,4.66719,103.068,38.643
A800,Llama-3-8B,int4_float16_float16,FFN Up-proj,8192,14336,4096,9.35977,102.788,35.402
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,1,4096,14336,0.02826,4.155,1040.145
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,16,4096,14336,0.07055,26.633,424.499
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,32,4096,14336,0.08356,44.976,365.491
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,64,4096,14336,0.15319,49.064,207.059
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,128,4096,14336,0.26511,56.702,128.544
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,256,4096,14336,0.42465,70.798,91.362
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,512,4096,14336,0.78336,76.759,61.574
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,1024,4096,14336,1.37943,87.18,48.65
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,2048,4096,14336,2.68851,89.461,39.002
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,4096,4096,14336,5.1457,93.483,35.05
A800,Llama-3-8B,int4_float16_float16,FFN Down-proj,8192,4096,14336,9.56262,100.608,34.651
