GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
H800,Llama-3-70B,int4_float16_float16,Q-proj,1,8192,8192,0.01773,7.568,1893.912
H800,Llama-3-70B,int4_float16_float16,Q-proj,16,8192,8192,0.04206,51.053,810.165
H800,Llama-3-70B,int4_float16_float16,Q-proj,32,8192,8192,0.05932,72.401,583.312
H800,Llama-3-70B,int4_float16_float16,Q-proj,64,8192,8192,0.08973,95.733,397.33
H800,Llama-3-70B,int4_float16_float16,Q-proj,128,8192,8192,0.1241,138.433,304.174
H800,Llama-3-70B,int4_float16_float16,Q-proj,256,8192,8192,0.21572,159.283,194.437
H800,Llama-3-70B,int4_float16_float16,Q-proj,512,8192,8192,0.27993,245.489,179.801
H800,Llama-3-70B,int4_float16_float16,Q-proj,1024,8192,8192,0.56355,243.88,119.082
H800,Llama-3-70B,int4_float16_float16,Q-proj,2048,8192,8192,1.10692,248.327,90.94
H800,Llama-3-70B,int4_float16_float16,Q-proj,4096,8192,8192,2.20012,249.875,76.256
H800,Llama-3-70B,int4_float16_float16,Q-proj,8192,8192,8192,4.39082,250.412,68.778
H800,Llama-3-70B,int4_float16_float16,KV-proj,1,8192,1024,0.00497,3.376,847.718
H800,Llama-3-70B,int4_float16_float16,KV-proj,16,8192,1024,0.00873,30.75,514.252
H800,Llama-3-70B,int4_float16_float16,KV-proj,32,8192,1024,0.0109,49.272,439.072
H800,Llama-3-70B,int4_float16_float16,KV-proj,64,8192,1024,0.01238,86.749,434.168
H800,Llama-3-70B,int4_float16_float16,KV-proj,128,8192,1024,0.01921,111.774,341.106
H800,Llama-3-70B,int4_float16_float16,KV-proj,256,8192,1024,0.03275,131.162,272.187
H800,Llama-3-70B,int4_float16_float16,KV-proj,512,8192,1024,0.04819,178.256,282.877
H800,Llama-3-70B,int4_float16_float16,KV-proj,1024,8192,1024,0.09097,188.846,253.578
H800,Llama-3-70B,int4_float16_float16,KV-proj,2048,8192,1024,0.17542,195.867,239.095
H800,Llama-3-70B,int4_float16_float16,KV-proj,4096,8192,1024,0.34109,201.471,233.64
H800,Llama-3-70B,int4_float16_float16,KV-proj,8192,8192,1024,0.64219,214.016,241.657
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,1,28672,8192,0.05153,9.117,2280.665
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,16,28672,8192,0.09698,77.503,1223.151
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,32,28672,8192,0.14048,107.007,852.789
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,64,28672,8192,0.2293,131.118,532.757
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,128,28672,8192,0.28852,208.408,439.756
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,256,28672,8192,0.55353,217.26,246.266
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,512,28672,8192,1.10169,218.318,140.865
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,1024,28672,8192,1.96968,244.221,97.954
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,2048,28672,8192,3.92987,244.811,68.307
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,4096,28672,8192,7.90049,243.548,53.089
H800,Llama-3-70B,int4_float16_float16,FFN Up-proj,8192,28672,8192,15.27415,251.948,47.231
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,1,8192,28672,0.05492,8.554,2139.797
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,16,8192,28672,0.22005,34.156,539.049
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,32,8192,28672,0.23582,63.746,508.019
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,64,8192,28672,0.32414,92.752,376.87
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,128,8192,28672,0.44104,136.335,287.676
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,256,8192,28672,0.73063,164.596,186.572
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,512,8192,28672,0.95284,252.421,162.869
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,1024,8192,28672,1.93821,248.185,99.544
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,2048,8192,28672,3.82761,251.351,70.131
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,4096,8192,28672,7.66927,250.89,54.69
H800,Llama-3-70B,int4_float16_float16,FFN Down-proj,8192,8192,28672,15.27144,251.993,47.24
