GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
H800,Llama-3-8B,float16_float16_float16,Q-proj,1,4096,4096,0.00956,3.512,3513.392
H800,Llama-3-8B,float16_float16_float16,Q-proj,16,4096,4096,0.03823,14.042,884.475
H800,Llama-3-8B,float16_float16_float16,Q-proj,32,4096,4096,0.04082,26.303,834.806
H800,Llama-3-8B,float16_float16_float16,Q-proj,64,4096,4096,0.04342,49.454,796.864
H800,Llama-3-8B,float16_float16_float16,Q-proj,128,4096,4096,0.0511,84.044,697.629
H800,Llama-3-8B,float16_float16_float16,Q-proj,256,4096,4096,0.07112,120.775,530.751
H800,Llama-3-8B,float16_float16_float16,Q-proj,512,4096,4096,0.12061,142.436,347.745
H800,Llama-3-8B,float16_float16_float16,Q-proj,1024,4096,4096,0.16086,213.599,312.889
H800,Llama-3-8B,float16_float16_float16,Q-proj,2048,4096,4096,0.30979,221.825,216.626
H800,Llama-3-8B,float16_float16_float16,Q-proj,4096,4096,4096,0.60546,227.0,166.259
H800,Llama-3-8B,float16_float16_float16,Q-proj,8192,4096,4096,1.19393,230.23,140.521
H800,Llama-3-8B,float16_float16_float16,KV-proj,1,4096,1024,0.00472,1.776,1778.249
H800,Llama-3-8B,float16_float16_float16,KV-proj,16,4096,1024,0.00844,15.906,1013.515
H800,Llama-3-8B,float16_float16_float16,KV-proj,32,4096,1024,0.00901,29.8,967.616
H800,Llama-3-8B,float16_float16_float16,KV-proj,64,4096,1024,0.0112,47.935,807.497
H800,Llama-3-8B,float16_float16_float16,KV-proj,128,4096,1024,0.01377,77.98,704.407
H800,Llama-3-8B,float16_float16_float16,KV-proj,256,4096,1024,0.02057,104.385,535.178
H800,Llama-3-8B,float16_float16_float16,KV-proj,512,4096,1024,0.03165,135.711,430.722
H800,Llama-3-8B,float16_float16_float16,KV-proj,1024,4096,1024,0.04746,181.009,397.724
H800,Llama-3-8B,float16_float16_float16,KV-proj,2048,4096,1024,0.09234,186.058,317.971
H800,Llama-3-8B,float16_float16_float16,KV-proj,4096,4096,1024,0.18944,181.372,265.682
H800,Llama-3-8B,float16_float16_float16,KV-proj,8192,4096,1024,0.35535,193.385,259.672
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,1,14336,4096,0.0417,2.816,2817.257
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,16,14336,4096,0.05556,33.817,2124.193
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,32,14336,4096,0.06824,55.074,1738.363
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,64,14336,4096,0.07659,98.141,1564.26
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,128,14336,4096,0.13074,114.983,934.395
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,256,14336,4096,0.16512,182.082,768.412
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,512,14336,4096,0.31689,189.751,430.17
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,1024,14336,4096,0.55223,217.77,281.023
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,2048,14336,4096,1.05529,227.917,182.83
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,4096,14336,4096,2.03899,235.919,131.651
H800,Llama-3-8B,float16_float16_float16,FFN Up-proj,8192,14336,4096,4.00646,240.131,104.689
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,1,4096,14336,0.04281,2.744,2744.395
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,16,4096,14336,0.1353,13.888,872.365
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,32,4096,14336,0.13676,27.479,867.35
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,64,4096,14336,0.14479,51.911,827.402
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,128,4096,14336,0.19895,75.557,614.008
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,256,4096,14336,0.23971,125.422,529.299
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,512,4096,14336,0.40523,148.383,336.387
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,1024,4096,14336,0.51139,235.162,303.466
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,2048,4096,14336,1.02823,233.915,187.641
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,4096,4096,14336,1.98689,242.105,135.103
H800,Llama-3-8B,float16_float16_float16,FFN Down-proj,8192,4096,14336,3.94951,243.593,106.198
