GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
H800,Llama-3-8B,int8_int8_int32,Q-proj,1,4096,4096,0.00958,3.502,1753.285
H800,Llama-3-8B,int8_int8_int32,Q-proj,16,4096,4096,0.02191,24.507,780.792
H800,Llama-3-8B,int8_int8_int32,Q-proj,32,4096,4096,0.02989,35.918,583.14
H800,Llama-3-8B,int8_int8_int32,Q-proj,64,4096,4096,0.03428,62.648,527.679
H800,Llama-3-8B,int8_int8_int32,Q-proj,128,4096,4096,0.03441,124.807,563.705
H800,Llama-3-8B,int8_int8_int32,Q-proj,256,4096,4096,0.04365,196.801,504.494
H800,Llama-3-8B,int8_int8_int32,Q-proj,512,4096,4096,0.05606,306.468,486.339
H800,Llama-3-8B,int8_int8_int32,Q-proj,1024,4096,4096,0.09397,365.642,401.706
H800,Llama-3-8B,int8_int8_int32,Q-proj,2048,4096,4096,0.18585,369.765,315.961
H800,Llama-3-8B,int8_int8_int32,Q-proj,4096,4096,4096,0.35453,387.664,283.934
H800,Llama-3-8B,int8_int8_int32,Q-proj,8192,4096,4096,0.69419,395.972,265.85
H800,Llama-3-8B,int8_int8_int32,KV-proj,1,4096,1024,0.00478,1.755,880.982
H800,Llama-3-8B,int8_int8_int32,KV-proj,16,4096,1024,0.00807,16.624,554.014
H800,Llama-3-8B,int8_int8_int32,KV-proj,32,4096,1024,0.01022,26.255,464.726
H800,Llama-3-8B,int8_int8_int32,KV-proj,64,4096,1024,0.01155,46.487,459.651
H800,Llama-3-8B,int8_int8_int32,KV-proj,128,4096,1024,0.01158,92.717,554.584
H800,Llama-3-8B,int8_int8_int32,KV-proj,256,4096,1024,0.0149,144.104,580.498
H800,Llama-3-8B,int8_int8_int32,KV-proj,512,4096,1024,0.01918,223.92,683.35
H800,Llama-3-8B,int8_int8_int32,KV-proj,1024,4096,1024,0.03042,282.416,723.967
H800,Llama-3-8B,int8_int8_int32,KV-proj,2048,4096,1024,0.05792,296.63,687.985
H800,Llama-3-8B,int8_int8_int32,KV-proj,4096,4096,1024,0.11117,309.071,679.111
H800,Llama-3-8B,int8_int8_int32,KV-proj,8192,4096,1024,0.21412,320.937,685.595
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,1,14336,4096,0.02838,4.139,2071.419
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,16,14336,4096,0.06001,31.311,994.844
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,32,14336,4096,0.08127,46.24,746.693
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,64,14336,4096,0.0698,107.689,897.662
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,128,14336,4096,0.08357,179.875,796.741
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,256,14336,4096,0.10256,293.144,725.906
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,512,14336,4096,0.19083,315.102,472.565
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,1024,14336,4096,0.33591,358.01,362.105
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,2048,14336,4096,0.60724,396.083,303.914
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,4096,14336,4096,1.18962,404.362,260.906
H800,Llama-3-8B,int8_int8_int32,FFN Up-proj,8192,14336,4096,2.32899,413.085,241.322
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,1,4096,14336,0.02667,4.404,2203.25
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,16,4096,14336,0.10274,18.289,576.314
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,32,4096,14336,0.12243,30.697,487.67
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,64,4096,14336,0.17514,42.916,346.51
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,128,4096,14336,0.19179,78.381,326.68
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,256,4096,14336,0.21094,142.529,315.66
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,512,4096,14336,0.25382,236.901,293.317
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,1024,4096,14336,0.30494,394.369,295.722
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,2048,4096,14336,0.59564,403.797,204.208
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,4096,4096,14336,1.11287,432.25,165.832
H800,Llama-3-8B,int8_int8_int32,FFN Down-proj,8192,4096,14336,2.19849,437.607,141.178
