Operator,GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,1,4096,4096,0.00607,5.528,1384.586
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,16,4096,4096,0.01756,30.576,492.685
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,32,4096,4096,0.0186,57.723,479.149
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,64,4096,4096,0.02223,96.601,424.517
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,128,4096,4096,0.02956,145.289,354.709
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,256,4096,4096,0.04484,191.576,280.629
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,512,4096,4096,0.07243,237.187,231.627
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,1024,4096,4096,0.11301,304.047,222.691
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,2048,4096,4096,0.18309,375.336,229.087
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,4096,4096,4096,0.36498,376.567,206.854
bitblas,H800,Llama-3-8B,int4_float16_float16,Q-proj,8192,4096,4096,0.70046,392.426,203.59
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,1,4096,1024,0.00386,2.174,546.084
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,16,4096,1024,0.00696,19.293,325.005
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,32,4096,1024,0.00727,36.922,333.521
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,64,4096,1024,0.00844,63.598,326.065
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,128,4096,1024,0.01083,99.128,314.614
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,256,4096,1024,0.01422,151.044,331.884
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,512,4096,1024,0.02148,199.968,341.742
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,1024,4096,1024,0.03236,265.41,388.784
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,2048,4096,1024,0.05287,324.963,436.352
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,4096,4096,1024,0.10277,334.343,428.54
bitblas,H800,Llama-3-8B,int4_float16_float16,KV-proj,8192,4096,1024,0.19256,356.873,446.527
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,1,14336,4096,0.01139,10.309,2580.494
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,16,14336,4096,0.02117,88.742,1414.448
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,32,14336,4096,0.0295,127.376,1035.106
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,64,14336,4096,0.04411,170.402,719.119
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,128,14336,4096,0.06594,227.974,516.821
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,256,14336,4096,0.11217,268.037,345.891
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,512,14336,4096,0.19121,314.475,252.264
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,1024,14336,4096,0.31615,380.39,212.271
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,2048,14336,4096,0.61956,388.211,169.247
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,4096,14336,4096,1.19595,402.222,150.805
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Up-proj,8192,14336,4096,2.30574,417.251,143.707
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,1,4096,14336,0.01149,10.217,2557.506
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,16,4096,14336,0.05213,36.042,574.476
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,32,4096,14336,0.05547,67.752,550.577
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,64,4096,14336,0.0683,110.051,464.43
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,128,4096,14336,0.10014,150.113,340.308
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,256,4096,14336,0.16934,177.543,229.112
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,512,4096,14336,0.23191,259.283,207.991
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,1024,4096,14336,0.41188,291.973,162.931
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,2048,4096,14336,0.61633,390.245,170.133
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,4096,4096,14336,1.24912,385.099,144.385
bitblas,H800,Llama-3-8B,int4_float16_float16,FFN Down-proj,8192,4096,14336,2.4248,396.764,136.651
